model,method,action_list_len,image_size,MAE,match_ratio
gpt4o,direct,6.0,399360.0,117.6671137971698,1.0
gpt4o,direct,4.0,1910400.0,5.327513266509434,1.0
gpt4o,direct,94.0,9216000.0,88.98047832414215,0.2234
gpt4o,direct,7.0,1198080.0,50.43940153301887,1.0
gpt4o,direct,38.0,4748160.0,134.29493543388855,0.92105
gpt4o,direct,4.0,460800.0,90.36966882861635,1.0
gpt4o,direct,5.0,1405440.0,82.2229289504717,1.0
gpt4o,direct,5.0,645120.0,79.92688187893081,1.0
gpt4o,direct,34.0,4391040.0,85.02493838626651,0.94118
gpt4o,direct,6.0,3131520.0,46.11952764976959,1.0
gpt4o,direct,3.0,1136640.0,51.605309060534594,1.0
gpt4o,direct,3.0,1075200.0,68.90488649764151,1.0
gpt4o,direct,27.0,3515520.0,72.29935642930327,0.96296
gpt4o,direct,13.0,2784000.0,64.25782430645509,1.0
gpt4o,direct,25.0,1760640.0,43.62148683176101,1.0
gpt4o,direct,46.0,10801920.0,120.27046291307472,0.95652
gpt4o,direct,4.0,1543680.0,36.72605149371069,1.0
gpt4o,direct,24.0,5093760.0,103.70341181024774,0.91667
gpt4o,direct,1.0,1910400.0,13.350525746855348,1.0
gpt4o,direct,3.0,1910400.0,18.40707547169811,1.0
gpt4o,direct,46.0,4208640.0,78.52731759207589,0.28261
gpt4o,direct,7.0,2138880.0,42.64581052614119,1.0
gpt4o,direct,255.0,3822720.0,79.45998800921231,0.0823499999999999
gpt4o,direct,57.0,12019200.0,125.5216419519639,0.42105
gpt4o,direct,1.0,1927680.0,4.990258758583021,1.0
gpt4o,direct,5.0,1689600.0,89.33827694050433,1.0
gpt4o,direct,29.0,3884160.0,115.15312216938406,1.0
gpt4o,direct,37.0,2250240.0,67.66479909521902,0.83784
gpt4o,direct,2.0,2705280.0,77.22976909722222,1.0
gpt4o,direct,6.0,1827840.0,29.480937991352203,1.0
gpt4o,direct,3.0,737280.0,78.41908411949686,1.0
gpt4o,direct,69.0,6952320.0,98.64575885993234,0.26087
gpt4o,direct,39.0,1089600.0,72.02227351641415,0.74359
gpt4o,direct,4.0,629760.0,81.72756271626298,1.0
gpt4o,direct,13.0,3008640.0,57.11931392386091,0.84615
gpt4o,direct,17.0,5360640.0,57.79135409268466,1.0
gpt4o,direct,4.0,864000.0,76.31335740959119,1.0
gpt4o,direct,139.0,7929600.0,68.87135088410363,0.01439
gpt4o,direct,69.0,7916160.0,94.50063189338236,0.31884
gpt4o,direct,89.0,5441280.0,81.49173967365125,0.17978
gpt4o,direct,152.0,4368000.0,78.86781292197145,0.11842
gpt4o,direct,41.0,8115840.0,91.25202889278016,0.68293
gpt4o,direct,1.0,1557120.0,62.20922513757861,1.0
gpt4o,direct,29.0,2964480.0,8.93320407542579,1.0
gpt4o,direct,8.0,1589760.0,36.34611831761006,0.875
gpt4o,direct,4.0,844800.0,71.50435092374214,1.0
gpt4o,direct,5.0,1981440.0,53.31844190140845,1.0
gpt4o,direct,1.0,1263360.0,50.21944034984277,1.0
gpt4o,direct,125.0,5145600.0,80.43810835040983,0.0559999999999999
gpt4o,direct,5.0,1221120.0,49.571612126572326,1.0
gpt4o,direct,1.0,1013760.0,62.83063580974843,1.0
gpt4o,direct,65.0,3709440.0,72.18976198531824,0.23077
gpt4o,direct,344.0,7718400.0,72.83869087720424,0.0523299999999999
gpt4o,direct,8.0,637440.0,86.51311419025157,1.0
gpt4o,direct,22.0,2795520.0,44.981040928372,0.68182
gpt4o,direct,33.0,14893440.0,106.61271083775976,0.3636399999999999
gpt4o,direct,5.0,929280.0,64.1431628341195,1.0
gpt4o,direct,2.0,4992000.0,58.25873567019401,1.0
gpt4o,direct,3.0,552960.0,91.50621806210692,1.0
gpt4o,direct,15.0,8580480.0,99.54362276445968,0.8
gpt4o,direct,3.0,2494080.0,4.277578952914258,1.0
gpt4o,direct,75.0,9191040.0,99.28947535569104,0.18667
gpt4o,direct,6.0,1910400.0,1.5117826257861635,1.0
gpt4o,direct,4.0,664320.0,82.599609375,1.0
gpt4o,direct,70.0,3964800.0,100.39169867165616,0.18571
gpt4o,direct,117.0,4396800.0,86.55352806915307,0.08547
gpt4o,direct,47.0,6539520.0,92.11836299189817,0.34043
gpt4o,direct,8.0,374400.0,107.68836477987422,1.0
gpt4o,direct,4.0,1910400.0,16.955738467261906,1.0
gpt4o,direct,96.0,2261760.0,68.18456616573779,0.14583
gpt4o,direct,147.0,5882880.0,84.83251546223958,0.01361
gpt4o,direct,4.0,744960.0,81.69529284591195,1.0
gpt4o,direct,94.0,9204480.0,96.93175177845528,0.07447
gpt4o,direct,9.0,1455360.0,85.5243710691824,0.88889
gpt4o,direct,1.0,1772160.0,55.85832841981132,1.0
gpt4o,direct,96.0,5546880.0,92.54326171875,0.1875
gpt4o,direct,6.0,1910400.0,26.15014073021885,0.83333
gpt4o,direct,62.0,10752000.0,102.19534970238097,0.40323
gpt4o,direct,39.0,3409920.0,70.47384409134955,0.5384599999999999
gpt4o,direct,1.0,1236480.0,54.63869889937107,1.0
gpt4o,self-refine,16.0,7200000.0,69.90037820054071,1.0
gpt4o,self-refine,4.0,737280.0,77.34293189858491,0.75
gpt4o,self-refine,11.0,1910400.0,11.676491253930818,1.0
gpt4o,self-refine,7.0,1524480.0,34.362347680817614,1.0
gpt4o,self-refine,5.0,675840.0,112.54798299921384,1.0
gpt4o,self-refine,49.0,10039680.0,93.984608260918,0.46939
gpt4o,self-refine,8.0,1507200.0,47.15128869311466,1.0
gpt4o,self-refine,4.0,1259520.0,45.17734129323899,1.0
gpt4o,self-refine,7.0,2384640.0,59.2380859375,1.0
gpt4o,self-refine,11.0,1910400.0,57.49592177672956,1.0
gpt4o,self-refine,3.0,3767040.0,62.63278651031271,1.0
gpt4o,self-refine,92.0,11057280.0,103.80711407850812,0.32609
gpt4o,self-refine,140.0,12174720.0,78.87422511205101,0.07857
gpt4o,self-refine,78.0,6512640.0,93.96941681084198,0.19231
gpt4o,self-refine,4.0,622080.0,87.83064072327043,1.0
gpt4o,self-refine,5.0,675840.0,53.35428704795598,1.0
gpt4o,self-refine,20.0,1910400.0,62.47406987543706,1.0
gpt4o,self-refine,165.0,10494720.0,101.18981294208967,0.0484799999999999
gpt4o,self-refine,91.0,10275840.0,112.8516621129326,0.21978
gpt4o,self-refine,4.0,768000.0,77.96146079009434,1.0
gpt4o,self-refine,1.0,1973760.0,30.72581641575426,1.0
gpt4o,self-refine,35.0,3158400.0,90.7879090563166,0.88571
gpt4o,self-refine,53.0,4344960.0,75.38338853686636,0.58491
gpt4o,self-refine,12.0,9594240.0,100.31786445046768,1.0
gpt4o,self-refine,3.0,760320.0,71.34789946933962,1.0
gpt4o,self-refine,5.0,3125760.0,93.08347884264592,1.0
gpt4o,self-refine,30.0,7344000.0,66.6327061040856,1.0
gpt4o,self-refine,54.0,7184640.0,111.63093370779244,0.35185
gpt4o,self-refine,96.0,9285120.0,51.6334795771757,0.21875
gpt4o,self-refine,4.0,2440320.0,29.513970429610453,1.0
gpt4o,self-refine,2.0,3162240.0,33.49080236807137,1.0
gpt4o,self-refine,78.0,5516160.0,58.2175507127193,0.8846200000000001
gpt4o,self-refine,4.0,622080.0,83.24742104973592,1.0
gpt4o,self-refine,21.0,1378560.0,59.29001080974843,0.90476
gpt4o,self-refine,67.0,5387520.0,84.16685825892857,0.1940299999999999
gpt4o,self-refine,5.0,1489920.0,31.770369005503145,1.0
gpt4o,self-refine,52.0,2718720.0,57.552539235190096,0.6153799999999999
gpt4o,self-refine,55.0,2807040.0,19.18153263972356,1.0
gpt4o,self-refine,68.0,2999040.0,50.43031350160256,0.35294
gpt4o,self-refine,4.0,1820160.0,24.30559158805032,1.0
gpt4o,self-refine,119.0,4239360.0,71.27564518960673,0.09244
gpt4o,self-refine,2.0,2263680.0,27.13552240910297,1.0
gpt4o,self-refine,127.0,4757760.0,79.40447278777357,0.09449
gpt4o,self-refine,127.0,2507520.0,22.091967118654217,0.30709
gpt4o,self-refine,22.0,5781120.0,83.25847552402863,0.8636400000000001
gpt4o,self-refine,4.0,483840.0,88.39649174528302,1.0
gpt4o,self-refine,32.0,1002240.0,73.73261841588051,0.8125
gpt4o,self-refine,3.0,1198080.0,49.54135711477988,1.0
gpt4o,self-refine,2.0,1910400.0,53.51373820754717,1.0
gpt4o,self-refine,11.0,314880.0,108.3533215408805,1.0
gpt4o,self-refine,4.0,867840.0,74.25684944968553,1.0
gpt4o,self-refine,146.0,12984960.0,113.20367096295296,0.06164
gpt4o,self-refine,2.0,2538240.0,46.95592706853693,1.0
gpt4o,self-refine,7.0,1228800.0,44.02800461871069,1.0
gpt4o,self-refine,129.0,11894400.0,102.74496060785864,0.1550399999999999
gpt4o,self-refine,27.0,2605440.0,80.69546218548015,0.96296
gpt4o,self-refine,48.0,2559360.0,46.986616050469486,0.60417
gpt4o,self-refine,1.0,2309760.0,41.28423665364584,1.0
gpt4o,self-refine,4.0,445440.0,96.50099748883927,1.0
gpt4o,self-refine,4.0,2824320.0,39.3591458067602,1.0
gpt4o,self-refine,37.0,2699520.0,61.321631990864525,1.0
gpt4o,self-refine,103.0,5207040.0,73.44909825333794,0.51456
gpt4o,self-refine,139.0,7651200.0,78.1631982562487,0.15827
gpt4o,self-refine,1.0,6309120.0,83.22224254459309,1.0
gpt4o,self-refine,1.0,2309760.0,17.63892822265625,1.0
gpt4o,self-refine,5.0,633600.0,86.11695656446541,1.0
gpt4o,self-refine,3.0,537600.0,87.1246486831761,1.0
gpt4o,self-refine,4.0,1082880.0,56.740993514150944,1.0
gpt4o,self-refine,35.0,10786560.0,60.29371707375479,0.85714
gpt4o,self-refine,1.0,825600.0,75.44052918632076,1.0
gpt4o,self-refine,50.0,10742400.0,95.97104538690476,0.48
gpt4o,self-refine,5.0,552960.0,56.68503095518868,1.0
gpt4o,self-refine,149.0,3709440.0,66.99485446399278,0.32886
gpt4o,self-refine,14.0,2213760.0,25.251437805374596,0.85714
gpt4o,self-refine,9.0,1910400.0,45.51333038522012,1.0
gpt4o,self-refine,5.0,752640.0,88.51010220125787,1.0
gpt4o,self-refine,193.0,6568320.0,91.29961527293844,0.0828999999999999
gpt4o,self-refine,4.0,1628160.0,64.8560141509434,1.0
gpt4o,self-refine,44.0,1847040.0,29.82792108883648,1.0
gpt4o,self-refine,5.0,1612800.0,35.739558765723274,1.0
gpt4o,self-refine,26.0,1440000.0,56.51171875,1.0
gpt4o,self-refine,1.0,3300480.0,173.49981662800218,1.0
gpt4o,self-refine,4.0,983040.0,66.85146668632075,1.0
gpt4o,self-refine,117.0,10588800.0,112.70741529143258,0.2136799999999999
gpt4o,self-refine,1.0,2163840.0,23.156456163194445,1.0
gpt4o,self-refine,24.0,3826560.0,67.91752374071972,0.54167
gpt4o,self-refine,58.0,7207680.0,103.43322261461137,0.41379
gpt4o,self-refine,3.0,2263680.0,41.443243265658175,1.0
gpt4o,self-refine,6.0,1910400.0,14.260092374213835,1.0
gpt4o,self-refine,18.0,2553600.0,41.155839880532014,0.83333
gpt4o,self-refine,5.0,1910400.0,14.297162441037736,1.0
gpt4o,self-refine,23.0,4755840.0,86.38637514467592,0.86957
gpt4o,self-refine,4.0,464640.0,96.92903154481132,1.0
gpt4o,self-refine,6.0,2350080.0,5.883205920884458,1.0
gpt4o,self-refine,2.0,3025920.0,51.23931206597222,1.0
gpt4o,self-refine,8.0,2204160.0,5.71071623093682,1.0
gpt4o,self-refine,6.0,990720.0,47.17047710298742,1.0
gpt4o,self-refine,27.0,2678400.0,78.97228202919948,0.77778
gpt4o,self-refine,5.0,1075200.0,60.44572523584905,1.0
gpt4o,self-refine,1.0,1175040.0,71.43654923349057,1.0
gpt4o,self-refine,5.0,1910400.0,28.961497641509435,1.0
gpt4o,self-refine,4.0,2273280.0,44.06918816137566,1.0
gpt4o,self-refine,1.0,1910400.0,53.59020243710692,1.0
gpt4o,self-refine,1.0,1104000.0,54.37745430424528,1.0
gpt4o,self-refine,6.0,898560.0,87.20338050314466,1.0
gpt4o,self-refine,26.0,4763520.0,87.59829578335437,0.8846200000000001
gpt4o,self-refine,5.0,706560.0,78.85173201650943,1.0
gpt4o,self-refine,6.0,883200.0,71.61661016116352,1.0
gpt4o,self-refine,6.0,2686080.0,24.163079828529938,1.0
gpt4o,self-refine,38.0,11275614.0,106.73469677921456,0.47368
gpt4o,self-refine,4.0,483840.0,81.54921875,1.0
gpt4o,self-refine,7.0,1036800.0,77.1606254913522,0.85714
gpt4o,self-refine,68.0,3528960.0,93.14641794217688,0.30882
gpt4o,self-refine,2.0,574080.0,64.63444870283018,1.0
gpt4o,self-refine,4.0,1910400.0,16.28629373034591,1.0
gpt4o,self-refine,1.0,1409280.0,46.89366647012579,1.0
gpt4o,self-refine,4.0,1910400.0,35.09462460691824,1.0
gpt4o,self-refine,3.0,1228800.0,57.39903449292453,1.0
gpt4o,self-refine,9.0,1175040.0,56.78153989779874,1.0
gpt4o,self-refine,4.0,1098240.0,55.853955385220125,1.0
gpt4o,self-refine,5.0,1570560.0,35.66858785377359,1.0
gpt4o,self-refine,4.0,1607040.0,44.69247248427673,1.0
gpt4o,self-refine,11.0,1910400.0,24.89405498461969,1.0
gpt4o,self-refine,3.0,1420800.0,54.96138954402516,1.0
gpt4o,self-refine,5.0,1019520.0,62.53043681210692,1.0
gpt4o,self-refine,44.0,15083520.0,115.7119843444227,0.97727
gpt4o,self-refine,49.0,3761280.0,68.49829637599801,0.46939
gpt4o,self-refine,3.0,683520.0,73.15516264619883,1.0
gpt4o,self-refine,169.0,9012480.0,66.27685157496013,0.11834
gpt4o,self-refine,6.0,1075200.0,78.07749115566038,0.83333
gpt4o,self-refine,2.0,1968000.0,50.47639795100733,1.0
gpt4o,self-refine,5.0,6374400.0,15.041804521158024,1.0
gpt4o,self-refine,5.0,2469120.0,59.031448143115945,0.8
gpt4o,self-refine,4.0,387840.0,94.39840801886793,1.0
gpt4o,self-refine,1.0,1098240.0,53.36035524764151,1.0
gpt4o,self-refine,20.0,1115520.0,61.453736733490565,1.0
gpt4o,self-refine,6.0,399360.0,108.57907330974842,1.0
gpt4o,self-refine,4.0,1910400.0,5.327513266509434,1.0
gpt4o,self-refine,94.0,9216000.0,98.90398411968954,0.26596
gpt4o,self-refine,7.0,1198080.0,50.24131289308176,1.0
gpt4o,self-refine,38.0,4748160.0,108.93322257685467,0.8947400000000001
gpt4o,self-refine,4.0,460800.0,90.28123525943396,1.0
gpt4o,self-refine,5.0,1405440.0,84.05177378144654,1.0
gpt4o,self-refine,5.0,645120.0,79.53142197327044,1.0
gpt4o,self-refine,34.0,4391040.0,91.3387784090909,0.8529399999999999
gpt4o,self-refine,6.0,3131520.0,41.72703052995392,1.0
gpt4o,self-refine,3.0,1136640.0,52.994541077044026,1.0
gpt4o,self-refine,3.0,1075200.0,65.76355886399371,1.0
gpt4o,self-refine,27.0,3515520.0,65.59638218280396,0.96296
gpt4o,self-refine,13.0,2784000.0,64.28584608430484,1.0
gpt4o,self-refine,25.0,1760640.0,44.393334807389934,0.96
gpt4o,self-refine,46.0,10801920.0,119.79847641283524,0.95652
gpt4o,self-refine,4.0,1543680.0,37.99133254716981,1.0
gpt4o,self-refine,24.0,5093760.0,100.48792757601352,0.91667
gpt4o,self-refine,1.0,1910400.0,13.350525746855348,1.0
gpt4o,self-refine,3.0,1910400.0,18.403346108490567,1.0
gpt4o,self-refine,46.0,4208640.0,66.03162202380952,0.7173900000000001
gpt4o,self-refine,7.0,2138880.0,40.358950043542336,1.0
gpt4o,self-refine,255.0,3822720.0,79.45068194303583,0.0823499999999999
gpt4o,self-refine,57.0,12019200.0,126.7109375,0.21053
gpt4o,self-refine,1.0,1927680.0,4.987008426966292,1.0
gpt4o,self-refine,5.0,1689600.0,89.08592218137255,1.0
gpt4o,self-refine,29.0,3884160.0,65.34099165439372,0.89655
gpt4o,self-refine,37.0,2250240.0,72.76965645032051,0.89189
gpt4o,self-refine,2.0,2705280.0,77.48402430555555,1.0
gpt4o,self-refine,6.0,1827840.0,49.06804015456989,1.0
gpt4o,self-refine,3.0,737280.0,73.53522258254716,1.0
gpt4o,self-refine,69.0,6952320.0,100.5138352360086,0.26087
gpt4o,self-refine,39.0,1089600.0,71.84067952249771,0.64103
gpt4o,self-refine,4.0,629760.0,75.93502112814465,1.0
gpt4o,self-refine,13.0,3008640.0,56.33960643984812,1.0
gpt4o,self-refine,17.0,5360640.0,14.532326939241116,1.0
gpt4o,self-refine,4.0,864000.0,67.88798398191824,1.0
gpt4o,self-refine,139.0,7929600.0,85.56375284488796,0.33094
gpt4o,self-refine,69.0,7916160.0,94.40295102415966,0.31884
gpt4o,self-refine,89.0,5441280.0,81.62852239884393,0.25843
gpt4o,self-refine,152.0,4368000.0,79.43188024450231,0.14474
gpt4o,self-refine,41.0,8115840.0,90.90368512033046,0.68293
gpt4o,self-refine,1.0,1557120.0,72.15521324685534,1.0
gpt4o,self-refine,29.0,2964480.0,13.903323427531898,0.93103
gpt4o,self-refine,8.0,1589760.0,35.61998083726415,0.875
gpt4o,self-refine,4.0,844800.0,72.59623132861635,1.0
gpt4o,self-refine,5.0,1981440.0,31.50404356060606,1.0
gpt4o,self-refine,1.0,1263360.0,50.78483932783019,1.0
gpt4o,self-refine,125.0,5145600.0,79.78279044285064,0.16
gpt4o,self-refine,5.0,1221120.0,48.70314465408805,1.0
gpt4o,self-refine,1.0,1013760.0,64.30278842374214,1.0
gpt4o,self-refine,65.0,3709440.0,69.84446127583661,0.18462
gpt4o,self-refine,344.0,7718400.0,79.25578529188455,0.03488
gpt4o,self-refine,8.0,637440.0,86.4469167649371,1.0
gpt4o,self-refine,22.0,2795520.0,50.16626731636598,0.68182
gpt4o,self-refine,33.0,14893440.0,105.23352902804956,0.30303
gpt4o,self-refine,5.0,929280.0,64.32812991352202,1.0
gpt4o,self-refine,2.0,4992000.0,58.95986793154762,1.0
gpt4o,self-refine,3.0,552960.0,84.64841538915094,1.0
gpt4o,self-refine,15.0,8580480.0,33.98425608828006,1.0
gpt4o,self-refine,3.0,2494080.0,24.89091288836705,1.0
gpt4o,self-refine,75.0,9191040.0,103.24758955792684,0.32
gpt4o,self-refine,6.0,1910400.0,4.149518474842767,0.83333
gpt4o,self-refine,4.0,664320.0,82.9928532822327,1.0
gpt4o,self-refine,70.0,3964800.0,103.24521019345238,0.18571
gpt4o,self-refine,117.0,4396800.0,87.3592217244561,0.16239
gpt4o,self-refine,47.0,6539520.0,87.29182264539931,0.23404
gpt4o,self-refine,8.0,374400.0,108.37745184748428,1.0
gpt4o,self-refine,4.0,1910400.0,10.74326601808176,1.0
gpt4o,self-refine,96.0,2261760.0,72.07136577760085,0.09375
gpt4o,self-refine,147.0,5882880.0,85.84817097981771,0.06803
gpt4o,self-refine,4.0,744960.0,80.28427181603773,1.0
gpt4o,self-refine,94.0,9204480.0,98.83098640752031,0.18085
gpt4o,self-refine,9.0,1455360.0,89.03643451473577,0.88889
gpt4o,self-refine,1.0,1772160.0,55.85766263757861,1.0
gpt4o,self-refine,96.0,5546880.0,93.19555376838235,0.1875
gpt4o,self-refine,6.0,1910400.0,26.14924856200897,0.83333
gpt4o,self-refine,62.0,10752000.0,5.63928943452381,0.59677
gpt4o,self-refine,39.0,3409920.0,80.30202414772727,0.69231
gpt4o,self-refine,1.0,1236480.0,54.627287244496856,1.0
gemini,direct,16.0,7200000.0,82.03908734891857,0.9375
gemini,direct,4.0,737280.0,75.5999238404088,0.75
gemini,direct,11.0,1910400.0,13.493993219339623,0.7272700000000001
gemini,direct,7.0,1524480.0,43.54391460298742,1.0
gemini,direct,5.0,675840.0,99.91706466194968,1.0
gemini,direct,49.0,10039680.0,36.07071287321747,1.0
gemini,direct,8.0,1507200.0,64.66099660165484,0.875
gemini,direct,4.0,1259520.0,43.280532625786165,1.0
gemini,direct,7.0,2384640.0,74.00506722085386,1.0
gemini,direct,11.0,1910400.0,56.277115271226414,1.0
gemini,direct,3.0,3767040.0,82.12608117099136,1.0
gemini,direct,92.0,11057280.0,103.50972334139136,0.04348
gemini,direct,140.0,12174720.0,54.72821581129138,0.98571
gemini,direct,78.0,6512640.0,57.40039738321799,0.79487
gemini,direct,4.0,622080.0,84.49370332154088,1.0
gemini,direct,5.0,675840.0,52.044614779874216,1.0
gemini,direct,20.0,1910400.0,88.83920974065441,1.0
gemini,direct,165.0,10494720.0,101.6990054918424,0.0302999999999999
gemini,direct,91.0,10275840.0,152.08481329690346,0.96703
gemini,direct,4.0,768000.0,73.4217963836478,1.0
gemini,direct,1.0,1973760.0,45.28244516043188,1.0
gemini,direct,35.0,3158400.0,83.07169336234779,0.94286
gemini,direct,53.0,4344960.0,27.052135836693548,0.98113
gemini,direct,12.0,9594240.0,101.21188748937077,1.0
gemini,direct,3.0,760320.0,76.06399371069182,1.0
gemini,direct,5.0,3125760.0,115.42769837269586,1.0
gemini,direct,30.0,7344000.0,94.4066451848249,0.2333299999999999
gemini,direct,54.0,7184640.0,90.18319116834228,0.8148099999999999
gemini,direct,96.0,9285120.0,78.1087454803719,0.75
gemini,direct,4.0,2440320.0,28.602743235330376,1.0
gemini,direct,2.0,3162240.0,53.98245746725512,1.0
gemini,direct,78.0,5516160.0,89.9737679702729,0.21795
gemini,direct,4.0,622080.0,82.10066086871069,1.0
gemini,direct,21.0,1378560.0,59.40646619496855,1.0
gemini,direct,67.0,5387520.0,73.5410119047619,0.1791
gemini,direct,5.0,1489920.0,47.73564760220125,1.0
gemini,direct,52.0,2718720.0,58.03280766467728,0.65385
gemini,direct,55.0,2807040.0,52.074258251404494,1.0
gemini,direct,68.0,2999040.0,90.7307554472477,0.98529
gemini,direct,4.0,1820160.0,27.59924086084905,1.0
gemini,direct,119.0,4239360.0,70.02737154728464,0.16807
gemini,direct,2.0,2263680.0,20.2306221802017,1.0
gemini,direct,127.0,4757760.0,67.30359860839313,0.48031
gemini,direct,127.0,2507520.0,21.48093884312321,0.52756
gemini,direct,22.0,5781120.0,82.8771807898773,0.90909
gemini,direct,4.0,483840.0,96.24014593160378,1.0
gemini,direct,32.0,1002240.0,71.26054933176101,0.90625
gemini,direct,3.0,1198080.0,52.1592988404088,1.0
gemini,direct,2.0,1910400.0,85.93774076257861,1.0
gemini,direct,11.0,314880.0,107.10986880896226,1.0
gemini,direct,4.0,867840.0,70.15494054638364,1.0
gemini,direct,146.0,12984960.0,114.90317385338642,0.08219
gemini,direct,2.0,2538240.0,44.91569750236742,1.0
gemini,direct,7.0,1228800.0,64.40312745676101,1.0
gemini,direct,129.0,11894400.0,105.99481638976792,0.0
gemini,direct,27.0,2605440.0,88.78794977781625,1.0
gemini,direct,48.0,2559360.0,40.790050861762616,0.95833
gemini,direct,1.0,2309760.0,35.20350138346354,1.0
gemini,direct,4.0,445440.0,92.90932095125788,1.0
gemini,direct,4.0,2824320.0,61.62900257759354,1.0
gemini,direct,37.0,2699520.0,69.15580958946079,0.78378
gemini,direct,103.0,5207040.0,79.36963520085175,0.58252
gemini,direct,139.0,7651200.0,56.76305824702083,0.4388499999999999
gemini,direct,1.0,6309120.0,5.444888771186441,1.0
gemini,direct,1.0,2309760.0,25.944185384114583,0.0
gemini,direct,5.0,633600.0,85.89284099842767,1.0
gemini,direct,3.0,537600.0,87.73053262578617,1.0
gemini,direct,4.0,1082880.0,54.87947130503144,1.0
gemini,direct,35.0,10786560.0,63.45336446360153,0.54286
gemini,direct,1.0,825600.0,80.34669565644654,1.0
gemini,direct,50.0,10742400.0,76.31309151785715,0.48
gemini,direct,5.0,552960.0,31.609628046383648,1.0
gemini,direct,149.0,3709440.0,58.419900088172575,0.14765
gemini,direct,14.0,2213760.0,55.44771992330586,0.78571
gemini,direct,9.0,1910400.0,51.27873673349057,1.0
gemini,direct,5.0,752640.0,89.15533362814466,1.0
gemini,direct,193.0,6568320.0,72.25837734102788,0.1399
gemini,direct,4.0,1628160.0,64.00114485062893,1.0
gemini,direct,44.0,1847040.0,24.51824882075472,0.2045499999999999
gemini,direct,5.0,1612800.0,32.35744644261006,1.0
gemini,direct,26.0,1440000.0,67.02582077752976,1.0
gemini,direct,1.0,3300480.0,47.856294634734354,1.0
gemini,direct,4.0,983040.0,63.91756829795597,1.0
gemini,direct,117.0,10588800.0,91.53713497776218,0.8717900000000001
gemini,direct,1.0,2163840.0,19.72879123263889,1.0
gemini,direct,24.0,3826560.0,42.1663364281401,1.0
gemini,direct,58.0,7207680.0,86.89654172696213,0.18966
gemini,direct,3.0,2263680.0,64.40734528186275,1.0
gemini,direct,6.0,1910400.0,22.46851169418239,1.0
gemini,direct,18.0,2553600.0,33.372791239995294,0.88889
gemini,direct,5.0,1910400.0,12.369887480345913,1.0
gemini,direct,23.0,4755840.0,79.39115438236531,0.86957
gemini,direct,4.0,464640.0,90.47897258254716,1.0
gemini,direct,6.0,2350080.0,60.20200065503579,1.0
gemini,direct,2.0,3025920.0,49.99570622519841,1.0
gemini,direct,8.0,2204160.0,63.49440657339325,1.0
gemini,direct,6.0,990720.0,65.23029431996855,1.0
gemini,direct,27.0,2678400.0,79.89272513440861,0.59259
gemini,direct,5.0,1075200.0,56.96634237421384,1.0
gemini,direct,1.0,1175040.0,60.96384139150943,1.0
gemini,direct,5.0,1910400.0,28.55998919025157,0.8
gemini,direct,4.0,2273280.0,49.46300636574074,1.0
gemini,direct,1.0,1910400.0,54.15188924921384,1.0
gemini,direct,1.0,1104000.0,57.31106033805032,1.0
gemini,direct,6.0,898560.0,71.09255355738993,1.0
gemini,direct,26.0,4763520.0,74.09656778971355,0.96154
gemini,direct,5.0,706560.0,79.27137382075472,1.0
gemini,direct,6.0,883200.0,71.10885416666666,1.0
gemini,direct,6.0,2686080.0,41.304443141197495,1.0
gemini,direct,38.0,11275614.0,105.82333572796936,0.5
gemini,direct,4.0,483840.0,91.25915143474845,1.0
gemini,direct,7.0,1036800.0,78.75152319182389,0.85714
gemini,direct,68.0,3528960.0,80.65841528036898,1.0
gemini,direct,2.0,574080.0,101.13708480738994,1.0
gemini,direct,4.0,1910400.0,16.721609669811322,1.0
gemini,direct,1.0,1409280.0,45.30794762185535,1.0
gemini,direct,4.0,1910400.0,32.56252456761006,1.0
gemini,direct,3.0,1228800.0,65.71927329009434,1.0
gemini,direct,9.0,1175040.0,77.24975814106308,1.0
gemini,direct,4.0,1098240.0,56.301537932389934,1.0
gemini,direct,5.0,1570560.0,46.89475235849056,1.0
gemini,direct,4.0,1607040.0,35.100135121855345,0.75
gemini,direct,11.0,1910400.0,160.79734724940204,0.0
gemini,direct,3.0,1420800.0,76.93940153301887,1.0
gemini,direct,5.0,1019520.0,63.25987372248428,1.0
gemini,direct,44.0,15083520.0,117.14952120026092,0.97727
gemini,direct,49.0,3761280.0,96.1560589757984,0.36735
gemini,direct,3.0,683520.0,80.31715801886793,1.0
gemini,direct,169.0,9012480.0,57.45805921052632,0.39645
gemini,direct,6.0,1075200.0,104.13615615172957,0.83333
gemini,direct,2.0,1968000.0,6.133399152930403,1.0
gemini,direct,5.0,6374400.0,87.47054036458333,1.0
gemini,direct,5.0,2469120.0,47.06253997624269,1.0
gemini,direct,4.0,387840.0,95.33186910377358,1.0
gemini,direct,1.0,1098240.0,54.07118465015724,1.0
gemini,direct,20.0,1115520.0,61.75209807389937,0.95
gemini,direct,6.0,399360.0,104.32798987814463,1.0
gemini,direct,4.0,1910400.0,7.013895440251573,1.0
gemini,direct,94.0,9216000.0,100.77519595077614,0.52128
gemini,direct,7.0,1198080.0,73.90312314429929,1.0
gemini,direct,38.0,4748160.0,117.10863095238096,0.8947400000000001
gemini,direct,4.0,460800.0,89.90810976808176,1.0
gemini,direct,5.0,1405440.0,55.16115860849057,1.0
gemini,direct,5.0,645120.0,81.24298840408805,1.0
