model,method,action_list_len,image_size,MAE,match_ratio
claude,self-refine,68.0,3528960.0,72.9043393920068,0.19118
claude,self-refine,2.0,574080.0,66.60876818003145,1.0
claude,self-refine,4.0,1910400.0,50.414119994588745,1.0
claude,self-refine,1.0,1409280.0,40.88533559355346,1.0
claude,self-refine,4.0,1910400.0,35.104682586477985,1.0
claude,self-refine,3.0,1228800.0,66.2479289504717,1.0
claude,self-refine,9.0,1175040.0,56.88736979166666,1.0
claude,self-refine,4.0,1098240.0,59.40383254716981,1.0
claude,self-refine,5.0,1570560.0,63.27744450644841,1.0
claude,self-refine,4.0,1607040.0,27.814064956761005,1.0
claude,self-refine,11.0,1910400.0,37.87932881289308,0.63636
claude,self-refine,3.0,1420800.0,57.943433077830186,0.0
claude,self-refine,5.0,1019520.0,61.04621658805032,0.8
claude,self-refine,44.0,15083520.0,115.27862752772342,0.8863599999999999
claude,self-refine,49.0,3761280.0,71.14097456129407,0.0
claude,self-refine,3.0,683520.0,83.67095125786163,1.0
claude,self-refine,169.0,9012480.0,68.66679126794259,0.02367
claude,self-refine,6.0,1075200.0,122.96548250786164,0.83333
claude,self-refine,2.0,1968000.0,40.36361034798535,0.0
claude,self-refine,5.0,6374400.0,76.54621955940316,0.0
claude,self-refine,5.0,2469120.0,73.23159189205653,0.8
claude,self-refine,4.0,387840.0,102.40126031839624,1.0
claude,self-refine,1.0,1098240.0,52.381662735849055,1.0
claude,self-refine,20.0,1115520.0,61.97785475628931,1.0
claude,self-refine,6.0,399360.0,114.98306800314464,1.0
claude,self-refine,4.0,1910400.0,15.389688974056604,1.0
claude,self-refine,94.0,9216000.0,103.31574563419116,0.02128
claude,self-refine,7.0,1198080.0,54.21156643081761,1.0
claude,self-refine,38.0,4748160.0,73.51653875034711,0.6842100000000001
claude,self-refine,4.0,460800.0,98.23086920204402,1.0
claude,self-refine,5.0,1405440.0,97.00872129195108,1.0
claude,self-refine,5.0,645120.0,87.47369300314466,0.8
claude,self-refine,34.0,4391040.0,82.00798095134033,0.5
claude,self-refine,6.0,3131520.0,15.193827404953916,1.0
claude,self-refine,3.0,1136640.0,56.65107360455975,1.0
claude,self-refine,3.0,1075200.0,73.61750442216982,1.0
claude,self-refine,27.0,3515520.0,66.19874114156421,1.0
claude,self-refine,13.0,2784000.0,52.00785803918394,1.0
claude,self-refine,25.0,1760640.0,44.40423054245283,0.96
claude,self-refine,46.0,10801920.0,110.4638426859319,0.47826
claude,self-refine,4.0,1543680.0,45.46028891509434,1.0
claude,self-refine,24.0,5093760.0,112.76893475506756,0.75
claude,self-refine,1.0,1910400.0,2.3474916470125784,1.0
claude,self-refine,3.0,1910400.0,13.71089082154088,1.0
claude,self-refine,46.0,4208640.0,70.92372204008556,0.04348
claude,self-refine,7.0,2138880.0,15.753956667368126,1.0
claude,self-refine,255.0,3822720.0,66.71184737364773,0.04314
